ons_code,name,cls,loss_ph,change_pct,imd_avg_score,clean,league_excluded,handcheck
E09000030,Tower Hamlets,LB,586.37,-47.3,27.91,True,False,
E09000031,Waltham Forest,LB,365.89,-46.28,25.21,True,False,
E09000032,Wandsworth,LB,322.87,-45.45,16.61,True,False,
E09000033,Westminster,LB,19.66,-2.24,20.34,True,False,
E10000003,Cambridgeshire CC,SC,176.74,-56.64,13.86,True,False,
E10000007,Derbyshire CC,SC,224.61,-51.59,18.39,True,False,
E10000008,Devon CC,SC,238.54,-58.5,16.61,True,False,
E10000011,East Sussex CC,SC,231.65,-55.02,19.77,True,False,
E10000012,Essex CC,SC,201.92,-54.08,17.02,True,False,
E10000013,Gloucestershire CC,SC,315.16,-84.43,14.93,False,False,cliff_after_2018_one_year_check
E10000014,Hampshire CC,SC,153.57,-57.31,12.69,True,False,
E10000015,Hertfordshire CC,SC,184.86,-56.63,12.73,True,False,
E10000016,Kent CC,SC,203.22,-53.81,19.54,True,False,
E10000017,Lancashire CC,SC,253.63,-52.58,23.44,True,False,
E10000018,Leicestershire CC,SC,145.81,-51.91,12.33,True,False,
E10000019,Lincolnshire CC,SC,233.48,-50.39,20.29,True,False,
E10000020,Norfolk CC,SC,305.67,-57.36,21.18,True,False,
E10000024,Nottinghamshire CC,SC,228.34,-55.41,19.0,True,False,
E10000025,Oxfordshire CC,SC,144.49,-57.74,11.66,True,False,
E10000028,Staffordshire CC,SC,214.22,-60.13,16.57,True,False,
E10000029,Suffolk CC,SC,204.8,-48.58,18.46,True,False,
E10000030,Surrey CC,SC,176.93,-58.83,10.09,True,False,
E10000031,Warwickshire CC,SC,200.89,-57.22,15.64,True,False,
E10000032,West Sussex CC,SC,166.81,-57.76,14.43,True,False,
E10000034,Worcestershire CC,SC,193.39,-58.21,18.09,True,False,
