year,cls,service,n,p10,p25,median,p75,p90
2018-19,UA,development_control,55,-0.81,0.63,2.13,3.34,5.23
2018-19,UA,education,55,309.76,380.13,488.34,623.83,688.02
2018-19,UA,environmental_regulatory,55,67.40,72.56,84.45,92.80,101.16
2018-19,UA,fire_rescue,55,0.00,0.00,0.00,0.00,0.00
2018-19,UA,highways_transport,55,15.46,29.57,41.37,49.87,61.97
2018-19,UA,housing_gfra,55,11.57,17.79,24.00,35.03,42.74
2018-19,UA,libraries,55,6.57,8.59,11.11,13.60,14.51
2018-19,UA,other,55,-0.09,0.00,0.00,0.99,4.78
2018-19,UA,planning_development,55,4.17,12.25,16.05,21.95,31.56
2018-19,UA,police,55,0.00,0.00,0.00,0.00,0.00
2018-19,UA,public_health,55,37.32,45.04,56.71,76.17,93.50
2018-19,UA,recycling,55,0.00,0.99,7.32,10.09,19.27
2018-19,UA,refuse_and_recycling,55,14.03,16.83,24.53,29.45,35.40
2018-19,UA,street_cleansing,55,4.81,8.34,10.89,16.00,19.08
2018-19,UA,total_service_expenditure,55,1064.29,1141.55,1286.49,1420.81,1524.09
2018-19,UA,waste_collection,55,7.93,11.32,15.41,24.37,29.07
2018-19,UA,waste_disposal,55,20.16,25.74,34.36,40.87,47.93
2024-25,LB,adult_social_care,32,331.30,369.05,391.59,463.08,506.47
2024-25,LB,central,32,27.67,49.45,67.85,90.45,229.00
2024-25,LB,children_social_care,32,224.09,248.61,260.58,332.75,381.61
2024-25,LB,cultural,32,22.49,30.77,37.95,51.57,73.40
2024-25,LB,development_control,32,0.29,1.90,4.08,5.72,7.83
2024-25,LB,education,32,660.62,749.36,860.13,1103.55,1226.29
2024-25,LB,environmental_regulatory,32,56.47,70.85,95.91,135.53,216.59
2024-25,LB,fire_rescue,32,0.00,0.00,0.00,0.00,0.00
2024-25,LB,highways_transport,32,-103.18,-27.69,15.07,28.58,35.10
2024-25,LB,housing_gfra,32,67.49,91.50,126.52,161.50,223.44
2024-25,LB,libraries,32,8.96,10.62,14.66,18.81,27.72
2024-25,LB,other,32,0.00,0.00,0.00,0.00,4.88
