service,service_label,ons_code,name,cls,cls_label,real_per_head_2013_14,real_per_head_2024_25,change_pct
children_social_care,Children's social care,E09000025,Newham,LB,London borough,255.92,299.8,17.1
children_social_care,Children's social care,E08000031,Wolverhampton,MD,Met district,268.65,316.27,17.7
children_social_care,Children's social care,E09000032,Wandsworth,LB,London borough,174.38,206.03,18.2
children_social_care,Children's social care,E09000033,Westminster,LB,London borough,217.26,256.94,18.3
children_social_care,Children's social care,E09000015,Harrow,LB,London borough,153.49,182.91,19.2
children_social_care,Children's social care,E10000003,Cambridgeshire CC,SC,Shire county,143.01,171.3,19.8
children_social_care,Children's social care,E09000009,Ealing,LB,London borough,194.29,233.7,20.3
children_social_care,Children's social care,E06000020,Telford & the Wrekin UA,UA,Unitary,241.93,293.04,21.1
children_social_care,Children's social care,E08000034,Kirklees,MD,Met district,177.83,217.62,22.4
children_social_care,Children's social care,E09000030,Tower Hamlets,LB,London borough,229.16,284.32,24.1
children_social_care,Children's social care,E08000021,Newcastle,MD,Met district,219.38,272.56,24.2
children_social_care,Children's social care,E09000018,Hounslow,LB,London borough,205.02,255.03,24.4
children_social_care,Children's social care,E08000005,Rochdale,MD,Met district,248.43,311.05,25.2
children_social_care,Children's social care,E08000017,Doncaster,MD,Met district,244.42,307.44,25.8
children_social_care,Children's social care,E06000010,Kingston-upon-Hull UA,UA,Unitary,293.41,369.82,26.0
children_social_care,Children's social care,E06000018,Nottingham City UA,UA,Unitary,313.1,396.08,26.5
children_social_care,Children's social care,E08000027,Dudley,MD,Met district,202.07,257.2,27.3
children_social_care,Children's social care,E06000031,Peterborough UA,UA,Unitary,233.05,299.06,28.3
children_social_care,Children's social care,E08000003,Manchester,MD,Met district,266.26,341.59,28.3
children_social_care,Children's social care,E09000002,Barking & Dagenham,LB,London borough,265.98,342.88,28.9
children_social_care,Children's social care,E09000008,Croydon,LB,London borough,263.18,340.67,29.4
children_social_care,Children's social care,E09000029,Sutton,LB,London borough,222.67,289.37,30.0
children_social_care,Children's social care,E10000015,Hertfordshire CC,SC,Shire county,152.77,200.07,31.0
children_social_care,Children's social care,E06000014,York UA,UA,Unitary,124.25,163.6,31.7
children_social_care,Children's social care,E08000025,Birmingham,MD,Met district,210.79,279.14,32.4
children_social_care,Children's social care,E10000016,Kent CC,SC,Shire county,162.77,216.87,33.2
children_social_care,Children's social care,E09000019,Islington,LB,London borough,313.93,419.83,33.7
children_social_care,Children's social care,E06000056,Central Bedfordshire UA,UA,Unitary,159.74,214.87,34.5
