firm,supplier_raw,category,scope,txns,gbp
McKinsey,MCKINSEY AND COMPANY,consulting,uk,2,140000.0
Hays,HAYS ACCOUNTANCY & FINANCE,agency_staff,uk,321,139002.25
Hays,HAYS SPECIALIST RECRUITMENT,agency_staff,uk,229,136033.26
McKinsey,McKinsey & Co  Inc. UK,consulting,overseas_member,1,134065.0
Michael Page,Michael Page International Recruitment Ltd,agency_staff,uk,24,131298.85
EY,Ernst & Young Ford Rhodes Sidat  Hyder,consulting,overseas_member,21,126963.9
Michael Page,Michael Page International Recruitment Limited T/A Page Personnel,agency_staff,uk,17,126360.0
PwC,PricewaterhouseCoopers (SA),consulting,overseas_member,6,121818.81
PwC,PRICEWATERHOUSECOOPERS DRC SAS (PWC RDC SAS),consulting,overseas_member,4,119526.4
Hays,HAYS EXECUTIVE,agency_staff,uk,3,108963.0
McKinsey,McKinsey & Company Inc Africa Pty Ltd,consulting,overseas_member,2,108136.01
KPMG,KPMG GHANA LLP,consulting,overseas_member,5,106622.71
Reed,Reed,agency_staff,uk,84,106317.91
Deloitte,Deloitte Mcs Ltd,consulting,uk,2,104430.0
EY,ERNST YOUNG KURUMSAL FINANSMAN DANISMANLIK AS,consulting,overseas_member,1,103792.98
PwC,PricewaterhouseCoopers Incorporated,consulting,overseas_member,2,101545.0
KPMG,KPMG LLP (CSL),consulting,uk,66,101504.3
KPMG,KPMG LLP FEES,consulting,uk,1,100000.0
Reed,REED TECHNOLOGY,agency_staff,uk,13,99052.14
PwC,"PRICEWATERHOUSECOOPERS CONSULTANTS (SHENZHEN) LIMITED, BEIJING BRANCH",consulting,overseas_member,1,95001.06
Manpower,MANPOWER UK,agency_staff,uk,1,95000.0
KPMG,KPMG.,consulting,uk,14,93312.13
McKinsey,McKinsey & Company - India,consulting,overseas_member,3,93141.95
PA Consulting,*PA CONSULTING SERVICES LIMITED,consulting,uk,4,92752.73
Manpower,Elan Computing Ltd (A Manpower Compa,agency_staff,uk,18,88905.88
PwC,PRICE WATERHOUSECOOPERS DUBAI BRANCH,consulting,overseas_member,1,87338.28
Deloitte,DELOITTE CONSULTING LTD,consulting,uk,1,84000.0
BCG,THE BOSTON CONSULTING GROUP LLP,consulting,uk,1,82660.0
PwC,PricewaterhouseCoopers NGN,consulting,overseas_member,6,82395.55
Deloitte,Deloitte and Touche LLP~114191649,consulting,uk,2,82381.6
EY,ERNST & YOUNG KENYA,consulting,overseas_member,4,81795.08
Bain,Bain & Company,consulting,uk,2,80000.0
PwC,PricewaterhouseCoopers Advisory Ltd,consulting,uk,7,75338.5
Deloitte,Deloitte MCS,consulting,uk,3,75104.77
PwC,PRICEWATERHOUSE COOPERS ASSOCIATES AFRICA LTD,consulting,overseas_member,2,74682.72
EY,Ernst & Young  Limitada,consulting,overseas_member,6,74405.42
Reed,Reed Employment,agency_staff,uk,50,73833.26
EY,ERNST & YOUNG (CHINA) ADVISORY LIMITED,consulting,overseas_member,1,73789.61
PwC,Price Waterhouse Coopers Llp,consulting,uk,2,73437.5
PwC,PricewaterhouseCoopers Inc.,consulting,overseas_member,2,73067.16
EY,Ernst & Young Pvt Ltd,consulting,uk,5,72537.07
PwC,PRICEWATERHOUSECOOPERS PRIVATE LIMIT,consulting,uk,2,70753.72
PwC,PriceWaterhouseCoopers,consulting,uk,9,69138.45
Deloitte,Deloitte  Llp,consulting,uk,2,69018.85
Reed,REED TALENT SOLUTIONS LIMITED TA CONSULTANCY PLUS,agency_staff,uk,2,68571.0
PwC,Pricewaterhouse Coopers Llp,consulting,uk,6,67945.7
Reed,REED,agency_staff,uk,27,66625.13
KPMG,KPMG Taseer Hadi and Co,consulting,overseas_member,11,62436.62
EY,ERNST & YOUNG GLOBAL SERVICES LTD,consulting,overseas_member,2,61832.37
Reed,REED SPECIALIST RECRUITMENT,agency_staff,uk,8,61542.44
Reed,Reed Talent Solutions t/a Consultancyplus,agency_staff,uk,19,60411.45
KPMG,KPMG LLP FEES ACCOUNT,consulting,uk,2,60031.44
KPMG,KPMG MANAGEMENT CONSULTING,consulting,uk,2,59298.17
KPMG,KPMG CONSULTING,consulting,uk,1,56470.97
PwC,PricewaterhouseCoopers (Ghana) Limited,consulting,overseas_member,5,55934.49
EY,Ernst & Young ( Ghana),consulting,overseas_member,2,55686.29
Reed,REED SPECIALIST RECRUITMENT LIMITED,agency_staff,uk,1,55054.03
KPMG,KPMG RDC,consulting,overseas_member,2,54810.69
EY,ERNST AND YOUNG ADVISORY SERVICES,consulting,uk,1,54792.88
EY,Ernst and Young,consulting,uk,2,54660.08
PwC,PWC,consulting,uk,1,51839.0
Deloitte,Deloitte  LLP,consulting,uk,1,51772.85
Gartner,AST Gartner UK Ltd,consulting,uk,1,51344.3
Deloitte,Deloitte Limited,consulting,uk,2,50719.12
PwC,PRICEWATERHOUSE COOPERS PRIVATE LIMI,consulting,uk,4,50386.16
Gartner,GARTNER GROUP UK LIMITED,consulting,uk,1,49800.0
Deloitte,DELOITTES LLP,consulting,uk,1,48950.0
EY,Ernst and  Young Nigeria,consulting,overseas_member,2,47862.45
Gartner,GARTNER GROUP UK LTD~105026640,consulting,uk,1,46935.38
EY,Ernst & Young Ford Rhodes Sidat Hyder,consulting,overseas_member,5,46533.18
EY,ERNST & YOUNG ADVISORY,consulting,uk,4,44300.0
