firm,supplier_raw,txns,gbp,n_publishers,publishers
KPMG,Kpmg Llp,46,5104764.05,4,"Whittington Hospital NHS Trust,Rushmoor Borough Council,Department for Energy Security and Net Zero,Department for Science, Innovation and Technology"
KPMG,KPMG (Registered),122,4412456.0,1,Department for International Development
KPMG,KPMG (KASPL),62,4112379.5,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG CIO ADVISORY LTD,18,4108934.84,1,Department for Work and Pensions
KPMG,KPMG Development Services,70,3412126.72,1,Department for International Development
KPMG,KPMG Auditores e Consultores SA,43,3250157.79,1,Department for International Development
KPMG,KPMG Advisory Limited - AcT2,17,3083570.31,1,Department for International Development
KPMG,KPMG Assurance and Consulting Services LLP,14,1605879.0,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG Uganda,12,1549408.4,1,Department for International Development
KPMG,KPMG FEES ACCOUNT,4,817127.3,1,North Yorkshire Council
KPMG,Hiscox PLC c/o KPMG LLP,2,550000.0,1,HM Revenue and Customs
KPMG,KPMG Llp Fees Account,21,523507.09,1,Bristol City Council
KPMG,KPMG ANGOLA & MOZAMBIQUE,14,410423.58,1,Department for International Development
KPMG,WWW.KPMG.CO.UK,190,342199.54,4,"Department for Education,Department of Health and Social Care,Foreign, Commonwealth and Development Office (FCDO),Foreign and Commonwealth Office"
KPMG,KPMG IDAS WA,14,305079.53,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG IT ADVISORY LIMITED,4,298155.0,1,Ministry of Defence
KPMG,Delinian Ltd c/o KPMG Law,2,296255.0,1,HM Revenue and Customs
KPMG,CITY OF LONDON KPMG ACADEMY HACKNEY,5,251336.75,1,Department for Education
KPMG,KPMG Kenya,20,222661.38,1,Department for International Development
KPMG,Associated Newspapers Ltd c/o KPMG,1,207770.22,1,HM Revenue and Customs
KPMG,KPMG LLP Fees Account,5,198290.06,1,HM Revenue and Customs
KPMG,KPMG - CSL,4,191281.78,1,Office of Rail and Road
KPMG,KPMG Rwanda,13,161687.97,1,Department for International Development
KPMG,KPMG ADVISORY HONG KONG LIMITED,4,156073.58,1,Foreign and Commonwealth Office
