expense_area,n_txn,gbp_total,n_publishers,a_publisher
PEG I&D Design Studio CLOSED,93,54379.68,1,Natural History Museum
PEG Innovations / Art Science,130,101539.68,2,"Department for Digital, Culture, Media and Sport"
PEG Interactive Media CLOSED,435,550619.65,1,Natural History Museum
PEG Internal Comms,44,82724.45,2,"Department for Digital, Culture, Media and Sport"
PEG Interpretation,89,30607.14,2,"Department for Digital, Culture, Media and Sport"
PEG Interpretation CLOSED,63,38077.31,1,Natural History Museum
PEG Learn Formal Learning CLOSED,73,83510.92,2,"Department for Digital, Culture, Media and Sport"
PEG Learn Lifelong Learning CLOSED,6,6095.25,2,"Department for Digital, Culture, Media and Sport"
PEG Learning - New Audiences CLSD,8,3322.18,2,"Department for Digital, Culture, Media and Sport"
PEG Learning - Volunteer Prog CLOSED,16,9740.59,1,Natural History Museum
PEG Learning - Volunteer Programme,74,19064.54,2,"Department for Digital, Culture, Media and Sport"
PEG Learning Programme Developers,524,205985.09,2,"Department for Digital, Culture, Media and Sport"
PEG Marketing,600,1906894.18,2,"Department for Digital, Culture, Media and Sport"
PEG Media & External Relations,97,187657.48,2,"Department for Digital, Culture, Media and Sport"
PEG Prod Design & Installation,224,436106.96,2,"Department for Digital, Culture, Media and Sport"
PEG Prod Engineering,71,25810.06,2,"Department for Digital, Culture, Media and Sport"
PEG Prod Painting & Joinery,43,12199.99,2,"Department for Digital, Culture, Media and Sport"
PEG Prod Project Management,155,57225.06,2,"Department for Digital, Culture, Media and Sport"
PEG Prod Special Effects,526,243540.39,2,"Department for Digital, Culture, Media and Sport"
PEG Prog Board Temporary Exhibitions,333,1013911.69,1,Natural History Museum
PEG Publishing,209,614778.09,2,"Department for Digital, Culture, Media and Sport"
PEG Service Development (Ex Vis Exp),276,194958.71,2,"Department for Digital, Culture, Media and Sport"
PEG VIS SERV - FOH,317,731641.17,2,"Department for Digital, Culture, Media and Sport"
PEG VS Bookings & Helpdesk,210,157391.01,2,"Department for Digital, Culture, Media and Sport"
PEG VS Bookings & Helpdesk CLSD,6,6155.79,1,Natural History Museum
PEG Vis Serv Temporary Exhibitions,838,3584599.27,2,"Department for Digital, Culture, Media and Sport"
PEG Visitor Events,269,42416.36,2,"Department for Digital, Culture, Media and Sport"
PEG Visitor Offer Strat Non Exh Proj,660,4150210.79,2,"Department for Digital, Culture, Media and Sport"
PEMBROKE SUITE,1046,25235.08,1,Salisbury NHS Foundation Trust
PEMBROKE WARD,12,1536.2,1,Salisbury NHS Foundation Trust
PENSION SERVICE MISC PTP/CIS SPEND,2,-223.31,1,Department for Work and Pensions
PENSIONS & DISABILITY CARERS SERVICE,3710,18168121.52,1,Department for Work and Pensions
PENSIONS CLIENT DIRECTORATE,1276,111024464.96,1,Department for Work and Pensions
PEOPLE AND CAPABILITY RESOURCE,296,206423.68,1,Department for Work and Pensions
PEOPLE AND OD MANAGEMENT,13,695641.63,1,Maidstone and Tunbridge Wells NHS Trust
PERF AND RES CONTINUOS IMPROVEMENT,288,96350.47,1,Department for Work and Pensions
PERFORMANCE,2,70146.0,1,National Offender Management Service
PERFORMANCE & STANDARDS,7,736430.61,1,National Offender Management Service
PERFORMANCE MANAGEMENT,2,79759.54,1,United Lincolnshire Hospitals NHS Trust
PERSONNEL,6,81925.8,1,Salisbury NHS Foundation Trust
PESCON,1,882.31,1,Eden District Council
PFD,2,2394417.91,1,Home Office
PFD - Performance & Finance Directorate,19,-851182.49,1,Home Office
PFD*,297,60912101.43,1,Home Office
PFI PROJECT,347,126357875.41,1,Maidstone and Tunbridge Wells NHS Trust
PFI Residual Interest,4,467801.98,1,Coventry and Warwickshire Partnership NHS Trust
PFI SPECIAL GRANT,1296,933456076.43,1,"Ministry of Housing, Communities and Local Government"
PGEC - HETV Projects,1,56230.0,1,Milton Keynes Hospital NHS Foundation Trust
PGP Directorate,43,52443.0,1,Department for International Development
PH Public Health,53,26350587.0,1,Department of Health and Social Care
PHARMACY,163,23103131.14,3,George Eliot Hospital NHS Trust
PHARMACY DEPARTMENT,607,307415.68,1,Salisbury NHS Foundation Trust
PHASE 2 FUTURE SYSTEM,230,575596.89,1,Department for Work and Pensions
PHASE 2 UNIVERSAL CREDIT,48,7468.49,1,Department for Work and Pensions
PHLEBOTOMY SERVICE,3,28925.13,1,Maidstone and Tunbridge Wells NHS Trust
PHONES AND SWITCHBOARDS,2,-37785.2,1,Maidstone and Tunbridge Wells NHS Trust
PHT MAIN X-RAY,9,205839.7,1,Portsmouth Hospital NHS Trust
PHT Main X-Ray,23,1300115.62,1,Portsmouth Hospital NHS Trust
PHYSIO CHILD HEALTH,14,289.6,1,Salisbury NHS Foundation Trust
PHYSIO IN PAT,9,34871.0,1,Maidstone and Tunbridge Wells NHS Trust
PHYSIOTHERAPY,3,9727.95,1,Maidstone and Tunbridge Wells NHS Trust
PITTON WARD,1131,4717.68,1,Salisbury NHS Foundation Trust
PLACE OF SAFETY,5,168122.74,1,Coventry and Warwickshire Partnership NHS Trust
"PLANNED CARE - GRANTHAM, LINCOLN & LOUTH",2,72547.0,1,United Lincolnshire Hospitals NHS Trust
PLANNED CARE - PILGRIM,12,458835.95,1,United Lincolnshire Hospitals NHS Trust
PLANNED CARE MANAGEMENT,462,43375771.49,1,Maidstone and Tunbridge Wells NHS Trust
PLANNING & FINANCE,2,2083020.0,1,Cabinet Office
PLANNING & STRATEGIC DEVELOPMENT,1,30750.0,1,Royal United Hospital Bath NHS Foundation Trust
PLANNING AND IMP IMPLEMENTATION OTHER,47,7865.46,1,Department for Work and Pensions
PLANNING AND PERFORMANCE DEL A,1,51.0,1,Department for Work and Pensions
PLANNING AND PERFORMANCE DEL P,1,2.0,1,Department for Work and Pensions
PLASER,2,3304.67,1,Eden District Council
PLASTIC SURGERY,3,390576.44,1,Portsmouth Hospital NHS Trust
PLASTIC SURGERY O/PAT,74,418.1,1,Salisbury NHS Foundation Trust
PLASTIC SURGERY OUTPATIENTS,350,5098.91,1,Salisbury NHS Foundation Trust
PLATFORMS AND STANDARDS,22,1127223.35,1,Cabinet Office
"PLICS, SLR and Reference Cost Team",1,28500.0,1,Isle of Wight NHS Trust
PM PRESS OFFICE NEWS,1,36865.68,1,Cabinet Office
PMO,1,38047.54,1,Cabinet Office
PMO COMMUNICATIONS,2,78799.0,1,Cabinet Office
PMO DIRECT COMMUNICATIONS UNIT,1,63982.86,1,Cabinet Office
PMO FACILITIES MANAGEMENT,42,1305378.03,1,Cabinet Office
PMO ICTS,41,1948689.53,1,Cabinet Office
PMO Infrastructure IM and T,2,79467.78,1,Isle of Wight NHS Trust
PMO STAFF TRANSFERS,1,153000.0,1,Cabinet Office
PN101-MOJ ICT Transformation Project,4,386392.94,1,Ministry of Justice
PO FREEDOM OF INFORMATION,1,167781.0,1,Department for Work and Pensions
PO MINISTER (LORDS) FOR WORK & PENSIONS,6,375.0,1,Department for Work and Pensions
PO MINISTER FOR DISABLED PEOPLE,5,456.0,1,Department for Work and Pensions
PO MINISTER FOR WELFARE DELIVERY,1,45.0,1,Department for Work and Pensions
PO MINISTER OF EMPLOYMENT,59,7304.0,1,Department for Work and Pensions
PO MINISTER OF PENSIONS,11,436.0,1,Department for Work and Pensions
PO NON EXECUTIVES,1,248.0,1,Department for Work and Pensions
PO PERMANENT SECRETARY,18,718404.0,1,Department for Work and Pensions
PO SECRETARY OF STATE,5,692.0,1,Department for Work and Pensions
PO SPECIAL ADVISORS,3,211.0,1,Department for Work and Pensions
PO SUPPORT,51,294013.09,1,Department for Work and Pensions
POL CONTRACT,5,169114.0,1,Department for Work and Pensions
POLAR AME Expenditure,130,13654308.42,1,HM Revenue and Customs
POLICY & STRATEGY,104,38703093.22,1,Department of Health and Social Care
POLICY COMMUNICATIONS,45,4608229.28,1,Cabinet Office
POLICY DELIVERY,2,76850.0,1,Cabinet Office
"POLICY, STRATEGY AND FINANCE",272,8189432100.2,1,Department of Health and Social Care
POLITICAL AND CONSTITUTIONAL REFORM,129,7130799.58,1,Cabinet Office
PORTFOLIO MANAGEMENT BOARD,136,2768296.66,1,Department for Education
POST GRAD MED/DEN ED,1,27666.67,1,Portsmouth Hospital NHS Trust
POSTAGE,300,1284726.0,1,Department for Work and Pensions
POst Covid Syndrome Clinics,24,2820.22,1,Shropshire Community Health NHS Trust
PPD Programme Corporate,1,53603.5,1,"Department for Environment, Food and Rural Affairs"
PPP,1,25982.0,1,Home Office
PRC DELEGATED CO-COMMISSIONING,11697,224128466.87,1,NHS East and North Hertfordshire CCG
PRD Cabinet,201,504969.93,1,Department for International Development
PRE-OPERATIVE ASSESSMENT UNIT,101,357.81,1,Salisbury NHS Foundation Trust
PREDATOR B FLIGHT,7,2369.16,1,Ministry of Defence
PRESCRIBING,1,29664.93,1,NHS East and North Hertfordshire CCG
PRH Cabinet,37,46687.82,1,Department for International Development
PRIMARY CARE IT,146,12014148.68,1,NHS East and North Hertfordshire CCG
PRIMARY CARE SUPPORT,13,179700.11,1,NHS East and North Hertfordshire CCG
PRIME,105,44639084.44,1,Department for Work and Pensions
PRIME MINISTER'S OFFICE,18,926861.7,1,Cabinet Office
PRIME MINISTERS OFFICE,223,13417955.8,1,Cabinet Office
PRINCES YOUTH TRUST,2,205593.0,1,Department for Work and Pensions
PRINTING STATIONERY IT CONSUMABLES,2602,469785.0,1,Department for Work and Pensions
PRISONER RESETTLEMENT PROJECT,2,117324.0,1,National Offender Management Service
PRIVATE OFFICE,44,174357.86,1,Department for Education
PRIVATE OFFICE GROUP,6,226473.47,1,Cabinet Office
PRIVATE PATIENT UNIT - CLARENDON SUITE,28,62.58,1,Salisbury NHS Foundation Trust
PRIVATE PATIENT UNIT - TW HOSP,9,241330.07,1,Maidstone and Tunbridge Wells NHS Trust
PROAME,1,1845.3,1,Eden District Council
PROCEDURE WRITERS,237,51839.25,1,Department for Work and Pensions
PROCUREMENT,17,158137.59,2,Salisbury NHS Foundation Trust
PROCUREMENT SERVICES,22,610204.42,1,Portsmouth Hospital NHS Trust
PROCUREMENT STOCK,354,80589.62,1,Salisbury NHS Foundation Trust
PROFESSIONAL AND TECHNICAL EDUCATION,84,1609141.69,1,Department for Education
PROFESSIONAL FEES,650,1724047.0,1,Department for Work and Pensions
PROFESSIONAL HEAD OF INTELLIGENCE ANALYSIS,3,82000.0,1,Cabinet Office
PROFESSIONAL SERVICES  DIRECTORS OFFICE,3,611.09,1,Department for Work and Pensions
PROFESSIONAL SERVICES  PROJECT MANAGER,6,1128.6,1,Department for Work and Pensions
PROFESSIONAL STANDARDS,1,108167.51,1,United Lincolnshire Hospitals NHS Trust
PROGRAMME & STRATEGY OFFICE,23,12746076.0,1,Cabinet Office
PROGRAMME PROJECTS,17,1865662.45,1,NHS East and North Hertfordshire CCG
PROGRAMME RECOVERIES,1,-364.0,1,Department for Work and Pensions
PROGRAMMES,3,89729.25,1,National Offender Management Service
PROJECT HARBOUR CAPITAL,2,142894.11,1,Cabinet Office
PROJECT HARBOUR RESOURCE,1,60000.0,1,Cabinet Office
PROJECT HAVEN (CAPITAL),1,36965.21,1,Cabinet Office
PROJECT HAVEN (RESOURCE),1,26877.82,1,Cabinet Office
PROPERTY NON RESIDENTIAL,94,9293177.72,1,Maidstone and Tunbridge Wells NHS Trust
PROVISIONS,9,197741.03,1,United Lincolnshire Hospitals NHS Trust
PRU Devolved Capital,3,10811.38,1,South Gloucestershire Council
PS,4061,23149817.19,1,Department for Work and Pensions
PS&F MPI (part of PS&F J5180),4,1181852.58,1,Department of Health and Social Care
PSD - Land Surveyors,1,705.0,1,South Gloucestershire Council
PSD Accommodation Management,1,995.0,1,South Gloucestershire Council
PSD Architects,6,4754.8,1,South Gloucestershire Council
PSD Building Surveyors,4,8896.8,1,South Gloucestershire Council
PSD Business Management,9,14839.93,1,South Gloucestershire Council
PSD Clerk of Works,41,21894.27,1,South Gloucestershire Council
PSD Elec Engineers,2,1664.53,1,South Gloucestershire Council
PSD Information Management,19,64245.6,1,South Gloucestershire Council
PSD Mech Engineers,63,78644.91,1,South Gloucestershire Council
PSD Project Management,17,22761.91,1,South Gloucestershire Council
PSD Property Care Team Support,1,496.35,1,South Gloucestershire Council
PSD Property Records,1,2700.0,1,South Gloucestershire Council
PSD Quantity Surveyors,53,45745.07,1,South Gloucestershire Council
PSD Strategic Asset Management,1,750.0,1,South Gloucestershire Council
PSD Valuation & Property Management,4,3381.0,1,South Gloucestershire Council
PSF,2,735845000.0,1,Department of Health and Social Care
"PSF POLICY, STRATEGY & FINANCE",173,170295202.7,1,Department of Health and Social Care
PSG ANALYSIS CAD,285,5879283.39,1,Department for Work and Pensions
PSG ANALYSIS DIRECTOR OF ANALYSIS AND SUPPORT,51,62090.33,1,Department for Work and Pensions
PSG ANALYSIS FORECASTING,92,13042.16,1,Department for Work and Pensions
PSG ANALYSIS MODEL DEVELOPMENT UNIT,89,22382.08,1,Department for Work and Pensions
PSG CENTRAL,9,2572661.7,1,Department for Work and Pensions
PSG DH LEGAL SERVICES ADVISORY,197,447991.73,1,Department for Work and Pensions
PSG DH LEGAL SERVICES DIRECTOR AND SUPPORT,5,295.08,1,Department for Work and Pensions
PSG DH LEGAL SERVICES FLDM,555,463101.9,1,Department for Work and Pensions
PSG DH LEGAL SERVICES ICE,391,231393.85,1,Department for Work and Pensions
PSG DH LEGAL SERVICES IRS,75,41086.93,1,Department for Work and Pensions
PSG DH LEGAL SERVICES SSAC,252,74439.97,1,Department for Work and Pensions
PSG DIRECTOR GENERAL,136,32328.34,1,Department for Work and Pensions
PSG HEALTH AND WELLBEING,300,1568968.57,1,Department for Work and Pensions
PSG IGS BCS,269,174777.26,1,Department for Work and Pensions
PSG IGS BCS CORPORATE CONTINUITY,2,10825.0,1,Department for Work and Pensions
PSG IGS DATA SERVICES,159,216824.99,1,Department for Work and Pensions
PSG IGS DIRECTOR AND SUPPORT,53,12813.33,1,Department for Work and Pensions
PSG IGS FRAUD AND ERROR,45,13756.0,1,Department for Work and Pensions
PSG IGS IMG,261,829210.74,1,Department for Work and Pensions
PSG IGS PERFORMANCE MANAGEMENT,346,469577.91,1,Department for Work and Pensions
PSG IGS STAT SERVICES,273,13344548.58,1,Department for Work and Pensions
PSG INFO SERVICES,570,1553871.63,1,Department for Work and Pensions
PSG LEGAL SERVICES ADVISORY,202,1724502.83,1,Department for Work and Pensions
PSG LEGAL SERVICES COMMERCIAL,280,2312472.18,1,Department for Work and Pensions
PSG LEGAL SERVICES DIRECTOR AND SUPPORT,89,168335.62,1,Department for Work and Pensions
PSG LEGAL SERVICES LITIGATION & EMPLOYMENT,121,7056282.6,1,Department for Work and Pensions
PSG OGD SERVICES,47,1385182.61,1,Department for Work and Pensions
PSG PRIVATE OFFICE MINISTER (LORDS) FOR WORK & PENSIONS,3,64.0,1,Department for Work and Pensions
PSG PRIVATE OFFICE MINISTER FOR DISABLED PEOPLE,102,22597.7,1,Department for Work and Pensions
PSG PRIVATE OFFICE MINISTER FOR WELFARE DELIVERY,2,52.0,1,Department for Work and Pensions
PSG PRIVATE OFFICE MINISTER FOR WELFARE REFORM,59,6939.28,1,Department for Work and Pensions
PSG PRIVATE OFFICE MINISTER OF EMPLOYMENT,126,47824.86,1,Department for Work and Pensions
PSG PRIVATE OFFICE MINISTER OF PENSIONS,64,16118.54,1,Department for Work and Pensions
PSG PRIVATE OFFICE NON EXECUTIVES,37,3892.0,1,Department for Work and Pensions
PSG PRIVATE OFFICE PERMANENT SECRETARY,264,34674.26,1,Department for Work and Pensions
PSG PRIVATE OFFICE SECRETARY OF STATE,85,64813.84,1,Department for Work and Pensions
PSG PRIVATE OFFICE SPECIAL ADVISORS,41,5829.46,1,Department for Work and Pensions
PSG PRIVATE OFFICE SUPPORT,574,200220.2,1,Department for Work and Pensions
PSG PROSECUTIONS,23,389789.32,1,Department for Work and Pensions
PSG Portfolio Management Team,6,660197.68,1,HM Revenue and Customs
PSG STRATEGIC COMMS COO,352,782788.0,1,Department for Work and Pensions
PSG STRATEGIC COMMS COO CAMPAIGNS,51,239466.8,1,Department for Work and Pensions
PSG STRATEGIC COMMS DIRECTOR AND SUPPORT,138,95932.92,1,Department for Work and Pensions
PSG STRATEGIC COMMS INTERNAL COMMS,200,99384.61,1,Department for Work and Pensions
PSG STRATEGIC COMMS INTERNAL COMMS CAMPAIGNS,55,192120.45,1,Department for Work and Pensions
PSG STRATEGIC COMMS PENSIONS,120,42259.66,1,Department for Work and Pensions
PSG STRATEGIC COMMS PENSIONS CAMPAIGNS,2,216.0,1,Department for Work and Pensions
PSG STRATEGIC COMMS PRESS OFFICE,85,259433.35,1,Department for Work and Pensions
PSG STRATEGIC COMMS RESOURCE MANAGEMENT,148,39426.66,1,Department for Work and Pensions
PSG STRATEGIC COMMS SOCIAL JUST & DIS CAMPAIGNS,3,311.0,1,Department for Work and Pensions
PSG STRATEGIC COMMS SOCIAL JUSTICE & DISABILITY,87,23008.11,1,Department for Work and Pensions
PSG STRATEGIC COMMS STUDIO,230,295568.27,1,Department for Work and Pensions
PSG STRATEGIC COMMS STUDIO CAMPAIGNS,37,167911.0,1,Department for Work and Pensions
PSG SUSPENSE,3,396.0,1,Department for Work and Pensions
PSG Transformation Unit,4,3292095.54,1,HM Revenue and Customs
PSHE CPD Programme,3,3770.41,1,South Gloucestershire Council
PSN Services,13,514325.4,1,Cabinet Office
PT Cental & Strategy,4,196633.32,1,HM Revenue and Customs
PT Central & Strategy,36,1634515.96,1,HM Revenue and Customs
PT Change,67,4439776.62,1,HM Revenue and Customs
PT Customer & Strategy,45,2078874.59,1,HM Revenue and Customs
PT Customer Product & Process,308,12138869.47,1,HM Revenue and Customs
"PT Customer, Product & Process",1,95000.0,1,HM Revenue and Customs
PT Director,395,106930110.07,1,HM Revenue and Customs
PT Operations,1166,34905979.33,1,HM Revenue and Customs
PT Product & Process,55,750783.44,1,HM Revenue and Customs
PT Product Process,23,251555.12,1,HM Revenue and Customs
PUBCON,3,2652.36,1,Eden District Council
PUBLIC ENGAGEMENT AND LEARNING Digital Media Web Publishing Capital Digital Interpretation,1,35330.0,1,"Department for Environment, Food and Rural Affairs"
PUBLIC SERVICE UNIT,2,79032.0,1,Cabinet Office
PUBLIC SERVICES NETWORK,117,7781218.9,1,Cabinet Office
PUBLIC SPENDING,7,427304.91,1,HM Treasury
PUBLICITY,4,15214.0,1,Department for Work and Pensions
PWLD Home Care - Under 65 - KD,51,1370.74,1,South Gloucestershire Council
PWLD Home Care - Under 65 - KH,58,10333.43,1,South Gloucestershire Council
PWLD Home Care - Under 65 - PS,62,1934.28,1,South Gloucestershire Council
PWLD S 117 Placements,25,182374.74,1,South Gloucestershire Council
PZ501-MoJ ICT Feeder,3971,799809730.7,1,Ministry of Justice
Pacs,4,166417.86,1,Milton Keynes Hospital NHS Foundation Trust
Paed  - Medical - North,1,40330.15,1,The Pennine Acute Hospitals NHS Trust
Paed  - Medical - Oldham,1,33589.69,1,The Pennine Acute Hospitals NHS Trust
Paediatric Diabetes,544,27805.48,1,Shropshire Community Health NHS Trust
Paediatric Occupational Therapy,671,27077.57,1,Shropshire Community Health NHS Trust
Paediatric Outpats,1,1432.35,1,Whittington Hospital NHS Trust
Paediatric Palliative Care,1,31000.0,1,Whittington Hospital NHS Trust
Paediatric Phlebotomy,1576,19582.1,1,Shropshire Community Health NHS Trust
Paediatric Physiotherapy,721,122057.2,1,Shropshire Community Health NHS Trust
Paediatric Psychology,1106,54157.87,1,Shropshire Community Health NHS Trust
Paediatric Psychology Team,14,179.21,1,Shropshire Community Health NHS Trust
Paediatric Service,1,40000.0,1,Whittington Hospital NHS Trust
Paediatrics Community,1,15706.34,1,Milton Keynes Hospital NHS Foundation Trust
Paediatrics Med Staff,1,2151.86,1,Milton Keynes Hospital NHS Foundation Trust
Paediatrics and Neonatal Intensive Care Unit,14,24747.14,1,Royal United Hospital Bath NHS Foundation Trust
Page Park,3,3402.31,1,South Gloucestershire Council
Page Park - Public Open Spaces,11,10948.23,1,South Gloucestershire Council
Pain Directorate,8,349590.0,1,The Pennine Acute Hospitals NHS Trust
Pain Nurse Specialists,5,47991.4,1,Milton Keynes Hospital NHS Foundation Trust
Palace Street,150,3167734.75,1,Department for International Development
Palace Street (UK Office),34,136277.84,1,Department for International Development
Palaeo Facility,5,784.28,1,Natural History Museum
Palaeontology Admin,468,120711.12,2,"Department for Digital, Culture, Media and Sport"
Palaeontology Curation,905,335849.65,2,"Department for Digital, Culture, Media and Sport"
Palaeontology Research,1005,1176320.61,2,"Department for Digital, Culture, Media and Sport"
Pallative Care Team,1,14413.0,1,Whittington Hospital NHS Trust
Palliative Care,30,21142.29,1,Coventry and Warwickshire Partnership NHS Trust
Paper,21,38049.24,1,South Gloucestershire Council
Paper Charts,4,236875.0,1,Ministry of Defence
Paper Pubs,6,99959.96,1,Ministry of Defence
Parades Commission for Northern Ireland,1,69079.0,1,Northern Ireland Office
Parc,178,124691135.82,1,National Offender Management Service
Parent Partnership,2,27025.0,1,South Gloucestershire Council
Parenting Lead,7,173.43,1,Shropshire Community Health NHS Trust
Parish & Rural Co-ordination,3,5688.15,1,South Gloucestershire Council
Parish Council funded services,12,29889.0,1,South Gloucestershire Council
Park Primary,2,1493.48,1,South Gloucestershire Council
Parks and Open Spaces,11,29167.17,1,Eden District Council
Parkwall Primary,1,1290.0,1,South Gloucestershire Council
Parkway North Park & Ride,5,2966.8,1,South Gloucestershire Council
Parnership with Youth Offending Team,1,39813.0,1,National Offender Management Service
Participation,4,50.64,1,South Gloucestershire Council
Participation and Traineeships Division,4,389655.0,1,Department for Education
Participation and Vocational Education Group,704,334704295.28,1,Department for Education
Partnership,7,290176.04,1,National Offender Management Service
Partnership Arrangement,1,25000.0,1,National Offender Management Service
Partnership Management,231,19089.76,1,UK Shared Business Services
Partnership for Schools Legacy,22212,12703512106.18,1,Department for Education
Partnerships,28,1234072.35,2,National Offender Management Service
Partnerships & Corp. Services,1232,3149708.85,1,Blaby District Council
Partnerships - YOT,1,83606.0,1,National Offender Management Service
Pass Through Devices Exp,1,28378.8,1,George Eliot Hospital NHS Trust
Passenger Growth Promotion,35,56997.22,1,South Gloucestershire Council
Passport Operations,16,9432717.18,1,Home Office
Passport Production,24,12811108.85,1,Home Office
Pat Balance Sheet,3010,967075458.35,1,The Pennine Acute Hospitals NHS Trust
Pat-Pops Prof A Rowland,1,25142.0,1,The Pennine Acute Hospitals NHS Trust
Patchway Childrens Centre Cluster,36,13895.01,1,South Gloucestershire Council
Patchway High,1,3998.0,1,South Gloucestershire Council
Patchway High School Sports Centre,6,5767.57,1,South Gloucestershire Council
Patchway Library,2,5488.0,1,South Gloucestershire Council
Patchway Surestart Centre,4,56457.7,1,South Gloucestershire Council
Patchway Youth Centre,19,26469.63,1,South Gloucestershire Council
Patchway locality HUB,56,5572211.79,1,South Gloucestershire Council
Paternity Pay,13,-20699.79,1,The Pennine Acute Hospitals NHS Trust
Pathology,48,4336847.66,2,Royal United Hospital Bath NHS Foundation Trust
Pathology Covid Testing Costs,28,942767.91,1,Isle of Wight NHS Trust
Pathology General,17,963335.65,1,Isle of Wight NHS Trust
Pathology IT,19,1490726.85,1,Portsmouth Hospital NHS Trust
Pathology Med Staff,1,28668.49,1,Milton Keynes Hospital NHS Foundation Trust
Patient Care Delivery,20,1114915.51,1,Royal United Hospital Bath NHS Foundation Trust
Patient Information Review Grp,1,43268.16,1,The Pennine Acute Hospitals NHS Trust
Patient Level Costing,1,35925.0,1,Isle of Wight NHS Trust
Patient Level Costing (DO NOT USE),1,40877.76,1,Isle of Wight NHS Trust
Patient Systems,18,1355946.48,1,Whittington Hospital NHS Trust
Patient Transport Service,4,106536.67,1,Isle of Wight NHS Trust
Patient experience PHU,8,225198.28,1,Portsmouth Hospital NHS Trust
"Patient, Safety & Risk",2,150235.39,1,The Pennine Acute Hospitals NHS Trust
Pay Susp.,4,101462.44,1,South Gloucestershire Council
Pay Susp. -,1,74162.68,1,South Gloucestershire Council
Pay Susp. - AVC Prudential,2,34914.78,1,South Gloucestershire Council
Pay Susp. - Attachment of Earnings A,2,1290.86,1,South Gloucestershire Council
Pay Susp. - BAWA,2,1394.28,1,South Gloucestershire Council
Pay Susp. - Council Tax,2,27860.77,1,South Gloucestershire Council
Pay Susp. - Council Tax  AEO E,4,4217.17,1,South Gloucestershire Council
Pay Susp. - DFE Order CSA,4,4691.87,1,South Gloucestershire Council
Pay Susp. - Housing Rents,2,4375.67,1,South Gloucestershire Council
Pay Susp. - Leisure Trust,1,24277.33,1,South Gloucestershire Council
Pay Susp. - Sub General Teaching Council,1,1095.0,1,South Gloucestershire Council
Pay Susp. - T&GWU dues,2,2471.2,1,South Gloucestershire Council
Pay Susp. - UNISON dues,2,40290.65,1,South Gloucestershire Council
Pay costs,3,1372284.18,1,Home Office
Payables,14767,12006035.0,1,Shropshire Community Health NHS Trust
Payables Monthly Accruals,1,27792.56,1,Shropshire Community Health NHS Trust
Payment of utilities,1,339847.36,1,Ministry of Defence
Payment on Account,2,344334.0,1,National Offender Management Service
Payment to Gov Depts,1,60000.0,1,National Offender Management Service
Payments Section Suspense,2,125722.03,1,South Gloucestershire Council
Payments to Audit Commission RSL Inspect,1,450000.0,1,"Ministry of Housing, Communities and Local Government"
Payments to Welfare Assoc,1,29489.9,1,Ministry of Defence
Payroll,320,12030302.31,3,Milton Keynes Hospital NHS Foundation Trust
Payroll SLA,18,784545.0,1,Coventry and Warwickshire Partnership NHS Trust
Payroll Solutions,11,649552.65,1,Cabinet Office
Pennine Care,2,1644.62,1,The Pennine Acute Hospitals NHS Trust
Pennine General Fund Mobp,1,81530.91,1,The Pennine Acute Hospitals NHS Trust
Pennine Vendor Data Room,8,430820.2,1,The Pennine Acute Hospitals NHS Trust
Penrith BID,1,10000.0,1,Eden District Council
Penrith TIC Trading Account,1,3534.49,1,Eden District Council
Pension Scheme Finance Team,1,35074.14,1,Cabinet Office
Pension recharge,1,62303.03,1,National Offender Management Service
"Pension,Disability and Carers Service",2,979.86,1,Department for Work and Pensions
Pensions,1,31526.32,1,National Offender Management Service
Pensions & Disability Carers Service,12638,68059364.12,1,Department for Work and Pensions
Pensions - Secondary Non DSG,5,20055.9,1,South Gloucestershire Council
Pensions Commission,2,62597.5,1,HM Treasury
Pensions Disability & Carers Service,1695,9439116.55,1,Department for Work and Pensions
Pensions Division,183,46037111.55,1,NHS Business Services Authority
Pensions Levy,9,887844.82,1,NHS Business Services Authority
Pensions Other Staff,19,1329045.3,1,The Pennine Acute Hospitals NHS Trust
"Pensions, Disability & Carers Service",1781,26686457.0,1,Department for Work and Pensions
"Pensions, Projects and Specialists",11,17245.25,1,UK Shared Business Services
Pentonville,82,4277382.77,1,National Offender Management Service
Pentonville Prison,71,7107370.35,1,Whittington Hospital NHS Trust
People,733,1837457.54,1,UK Shared Business Services
People & Corporate Services,120,6888173.2,1,NHS Business Services Authority
People & Development,85,23020043.87,1,Home Office
People & Development Directorate,186,1434437.81,1,Home Office
People Directorate Management,435,433789.65,1,Shropshire Community Health NHS Trust
People Function,291,28325701.42,1,HM Revenue and Customs
People Management,59,116433.21,1,Shropshire Community Health NHS Trust
People and Change,1175,14599756.71,1,Department for Education
"People, Inclusion & Change",13,386326.37,1,The National Archives
"People, Inclusion and Change",3,48000.0,1,The National Archives
"People, Landscape & Biodiversity",29,1169913.12,1,"Department for Environment, Food and Rural Affairs"
"People, Performance & Planning",11,3061.97,1,Shropshire Community Health NHS Trust
Peoples Services Senior Team,1,31039.07,1,Portsmouth Hospital NHS Trust
"Perform., People & S. Projects",63,186981.67,1,Blaby District Council
Performance,35,2062962.67,2,Milton Keynes Hospital NHS Foundation Trust
Performance & Aid Impact,1,1000.0,1,Department for International Development
Performance & Finance,98,59823589.69,1,Home Office
