firm,tier,flag,payer,supplier_raw,year,txns,gross_outflow_gbp,gross_inflow_gbp,net_gbp
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2021,1,75.0,0.0,75.0
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2022,1,75.0,0.0,75.0
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2023,5,1317.61,0.0,1317.61
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2024,2,544.27,0.0,544.27
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2025,2,620.0,0.0,620.0
Rundles,debt_enforcement,payer_may_be_debtor,Transport for Greater Manchester,RUNDLE & CO LTD,2020,1,3084.9,0.0,3084.9
JBW Group,debt_enforcement,,Royal Borough of Greenwich,JBW GROUP LIMITED,2014,7,13458.55,-12942.55,516.0
JBW Group,debt_enforcement,,Royal Borough of Greenwich,JBW GROUP LIMITED,2015,8,16214.22,-13511.84,2702.38
JBW Group,debt_enforcement,,Royal Borough of Greenwich,JBW GROUP LIMITED,2016,25,46972.01,-39080.83,7891.18
JBW Group,debt_enforcement,,Royal Borough of Greenwich,JBW GROUP LIMITED,2017,16,29624.39,-24686.98,4937.41
JBW Group,debt_enforcement,,Plymouth City Council,JBW Group,2015,1,425.0,0.0,425.0
Ross & Roberts,debt_enforcement,,Royal Borough of Greenwich,ROSS & ROBERTS LTD,2012,22,21225.74,0.0,21225.74
Ross & Roberts,debt_enforcement,,Royal Borough of Greenwich,ROSS & ROBERTS LTD,2013,19,16771.39,-4069.55,12701.84
Ross & Roberts,debt_enforcement,,Royal Borough of Greenwich,ROSS & ROBERTS LTD,2014,31,37082.91,-19062.78,18020.13
Ross & Roberts,debt_enforcement,,Royal Borough of Greenwich,ROSS & ROBERTS LTD,2015,53,147014.91,-120916.49,26098.42
Ross & Roberts,debt_enforcement,,Royal Borough of Greenwich,ROSS & ROBERTS LTD,2016,46,133472.67,-110412.22,23060.45
Ross & Roberts,debt_enforcement,,Royal Borough of Greenwich,ROSS & ROBERTS LTD,2017,16,48886.32,-38716.5,10169.82
Ross & Roberts,debt_enforcement,,Bristol City Council,Ross & Roberts Ltd.,2020,15,21331.94,-19108.55,2223.39
Ross & Roberts,debt_enforcement,,Bristol City Council,Ross & Roberts Ltd.,2023,3,847.34,-451.64,395.7
Ross & Roberts,debt_enforcement,,Rushmoor Borough Council,Ross & Roberts Limited,2016,2,1381.4,-1071.14,310.26
Ross & Roberts,debt_enforcement,,Rushmoor Borough Council,Ross & Roberts Limited,2017,1,1633.44,0.0,1633.44
Quality Bailiffs (Enforcement Bailiffs Ltd),debt_enforcement,,Cheltenham Borough Council,Enforcement Bailiffs Ltd t/a Quality Bailiffs,2020,1,5400.0,0.0,5400.0
Quality Bailiffs (Enforcement Bailiffs Ltd),debt_enforcement,expense_code_R&M,Rushmoor Borough Council,Enforcement Bailiffs Ltd,2023,1,1394.72,0.0,1394.72
Civil Enforcement Agents Ltd,debt_enforcement,,North Yorkshire Council,CIVIL ENFORCEMENT AGENTS LTD,2023,2,2912.1,0.0,2912.1
Civil Enforcement Agents Ltd,debt_enforcement,,North Yorkshire Council,CIVIL ENFORCEMENT AGENTS LTD,2024,6,3251.75,0.0,3251.75
Civil Enforcement Agents Ltd,debt_enforcement,,North Yorkshire Council,CIVIL ENFORCEMENT AGENTS LTD,2025,1,2156.0,0.0,2156.0
Civil Enforcement Agents Ltd,debt_enforcement,,Former council of North Yorkshire,CIVIL ENFORCEMENT AGENTS LTD,2022,1,1265.1,0.0,1265.1
JTR Collections,debt_enforcement,,North Yorkshire Council,JTR COLLECTIONS,2023,7,3617.21,0.0,3617.21
JTR Collections,debt_enforcement,,Former council of North Yorkshire,JTR COLLECTIONS,2022,14,9100.83,0.0,9100.83
JTR Collections,debt_enforcement,,Former council of North Yorkshire,JTR COLLECTIONS,2023,6,3265.05,0.0,3265.05
Capital Resolve,debt_enforcement,,North Yorkshire Council,CAPITAL RESOLVE LTD,2023,1,1500.87,0.0,1500.87
CCS Enforcement Services,debt_enforcement,,Royal Borough of Greenwich,CCS ENFORCEMENT SERVICES LTD,2012,1,541.72,0.0,541.72
CCS Enforcement Services,debt_enforcement,,Royal Borough of Greenwich,CCS ENFORCEMENT SERVICES LTD,2013,1,510.79,0.0,510.79
Enforcement Services (name as published),debt_enforcement,generic_name_finance_area,Blaby District Council,ENFORCEMENT SERVICES,2014,3,189200.0,0.0,189200.0
Illion Digital Tech (debt software),debt_enforcement,software_not_agent,Former council of North Yorkshire,ILLION DIGITAL TECH SOLUTIONS UK LTD,2022,3,930.48,0.0,930.48
Illion Digital Tech (debt software),debt_enforcement,software_not_agent,Former council of North Yorkshire,ILLION DIGITAL TECH SOLUTIONS UK LTD,2023,1,418.13,0.0,418.13
Able Investigations (eviction/property),property_enforcement,,Bristol City Council,Able Investigations and Enforcement Solutions Limited,2020,6,13691.0,0.0,13691.0
Able Investigations (eviction/property),property_enforcement,,Bristol City Council,Able Investigations and Enforcement Solutions Limited,2022,1,4454.25,0.0,4454.25
Able Investigations (eviction/property),property_enforcement,,Bristol City Council,Able Investigations and Enforcement Solutions Limited,2023,9,27868.33,0.0,27868.33
Able Investigations (eviction/property),property_enforcement,,Bristol City Council,Able Investigations and Enforcement Solutions Limited,2024,13,60175.25,0.0,60175.25
Able Investigations (eviction/property),property_enforcement,,Bristol City Council,Able Investigations and Enforcement Solutions Limited,2025,7,26584.5,0.0,26584.5
Bail Enforcement Agency Ltd,property_enforcement,trade_unclear,Royal Borough of Greenwich,BAIL ENFORCEMENT AGENCY LTD,2012,7,5980.0,0.0,5980.0
Bail Enforcement Agency Ltd,property_enforcement,trade_unclear,Royal Borough of Greenwich,BAIL ENFORCEMENT AGENCY LTD,2013,3,3360.0,0.0,3360.0
