pattern,expense_type,publisher,txns,gbp,n_suppliers,top_suppliers
DEBT_RECOVERY,Debt collection service (DEL),HM Revenue and Customs,3,3989864.59,1,TDX GROUP LTD=3989864.59
DEBT_RECOVERY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,Department for Work and Pensions,78,3858392.89,2,INDESSER=3809032.89; PROFESSIONAL COST MANAGEMENT GROUP LTD=49360.0
DEBT_RECOVERY,Debtors - Sundry,Ministry of Defence,2,3582937.48,1,DE&S/DLO=3582937.48
DEBT_RECOVERY,DIG DEBT MGT - MAINTENANCE,Department for Work and Pensions,86,3543126.0,7,ARUM SYSTEMS LTD=1727035.0; CAPGEMINI UK PLC=1015230.0; SCRUMCONNECT LTD=374640.0; MASTEK UK LTD=290746.0; ALEXANDER MANN SOLUTIONS LTD-2WM=79477.0
DEBT_RECOVERY,DIG LEGACY TECH DEBT BSS DELP,Department for Work and Pensions,38,3510117.36,2,IBM UNITED KINGDOM LTD=2344365.54; CAPGEMINI UK PLC=1165751.82
DEBT_RECOVERY,DIG LEGACY TECH DEBT - BEREAVEMENT & CARE DELP,Department for Work and Pensions,18,3456031.27,2,CAPGEMINI UK PLC=1795329.6; SCOTT LOGIC LTD=1660701.67
DEBT_RECOVERY,Long Term Debtors - Capital loans,Bristol City Council,9,3435826.64,4,Goram homes Ltd=1700000.0; Goram Homes Ltd=1600000.0; Goram Homes=100000.0; City Funds LP=35826.64
DEBT_RECOVERY,DEBT MANAGEMENT OFFICE,HM Treasury,22,2381219.19,14,BULL INFORMATION SYSTEMS LTD=705905.74; JONES LANG LASALLE=373221.6; CORPORATION OF LONDON=259380.0; SS&C TECHNOLOGIES=162479.91; LONDON STOCK EXCHANGE=150000.0
DEBT_RECOVERY,DIG DATA WAREHOUSE RUN AND TECH DEBT,Department for Work and Pensions,21,1978619.28,4,BEDIGITAL=1050030.0; STADIA CONSULTING GROUP LTD=891360.0; AGILE SOLUTIONS GB LTD=25740.0; ALEXANDER MANN SOLUTIONS LTD-2WM=11489.28
DEBT_RECOVERY,Debt coll service (DEL),HM Revenue and Customs,4,1828156.75,1,TDX GROUP LTD=1828156.75
DEBT_RECOVERY,OPS CFC DEBT INVESTMENT,Department for Work and Pensions,22,1399400.16,2,INDESSER=1399372.0; DA LANGUAGES LTD=28.16
DEBT_RECOVERY,Inter DWP debtor - Payments to Foreign bank accounts,Department for Work and Pensions,34,1213115.56,32,J MILLER=72639.0; M PINON=67563.0; J CZERNIEWSKI=50217.0; GREENE SOLICITORS=49412.0; M DOYLE=49136.0
DEBT_RECOVERY,DIG LEGACY TECH DEBT - PROGRAMME DELIVERY DELP,Department for Work and Pensions,19,1179405.13,2,CAPGEMINI UK PLC=1179397.98; XEROX UK LTD=7.15
DEBT_RECOVERY,Sundry Debtors,Home Office,5,951217.5,2,KIER CONSTRUCTION - NORTHERN=900000.0; DELOITTE LLP=51217.5
DEBT_RECOVERY,DIG LEGACY TECH DEBT - RETIREMENT DELP,Department for Work and Pensions,39,927683.52,3,CAPGEMINI UK PLC=542083.2; TECKNUOVO LTD=305960.4; ALEXANDER MANN SOLUTIONS LTD-2WM=79639.92
DEBT_RECOVERY,Debt coll serv (AME),HM Revenue and Customs,22,904976.94,5,EQUITA LTD=324339.87; ROSSENDALES LTD=255171.16; AKINIKA HOLDINGS (UK) LIMITED=148882.63; ADVANTIS CREDIT LTD=131162.68; BLUESTONE CREDIT MANAGEMENT LTD=45420.6
DEBT_RECOVERY,Debt Collection Services,HM Revenue and Customs,4,811801.16,3,iQor holdings Limited=614278.82; Credit Solutions=137133.86; Commercial Collection Services=60388.48
DEBT_RECOVERY,Interest Paid on MOD Debt,Ministry of Defence,1,669815.84,1,DGFM - HMG 4780=669815.84
DEBT_RECOVERY,EXP - IMPAIRMENT - BAD DEBTS - CLIENT FUND,Department for Work and Pensions,15,646145.0,3,CMS 2012 CLIENT FUNDS=394063.0; CM 2012 CLIENT FUNDS=209736.0; DWP 93/03 CMG RECEIPTS & PAYMENTS GB=42346.0
DEBT_RECOVERY,DIG DEBT MGT CRS DELP,Department for Work and Pensions,5,547948.8,1,CAPGEMINI UK PLC=547948.8
DEBT_RECOVERY,EXP - WRITE OFF - BAD DEBTS (NON-RINGFENCED) - CLIENT FUND,Department for Work and Pensions,12,502909.0,2,CM 2012 CLIENT FUNDS=286182.0; CMS 2012 CLIENT FUNDS=216727.0
DEBT_RECOVERY,DIG DEBT MGT BOXI DELP,Department for Work and Pensions,30,401774.8,2,CAPGEMINI UK PLC=335899.2; ALEXANDER MANN SOLUTIONS LTD-2WM=65875.6
